x0,x1,x2,x3,x4,x5,x6,y
0.6,1.0,6.0,1000.0,6.0,1.156,0.5585053606381855,0.0074928
0.6,1.0,6.0,1000.0,6.0,1.1688,0.6981317007977318,0.0078976
0.6,1.0,6.0,1000.0,6.0,1.1809,0.8377580409572781,0.0082147
0.6,1.0,6.0,1000.0,6.0,1.1922,0.9773843811168246,0.0084729
0.6,1.0,6.0,1000.0,6.0,1.2029,1.117010721276371,0.0087062
0.6,1.0,6.0,1000.0,6.0,0.59271,1.2566370614359172,0.00031488
0.6,1.0,6.0,1000.0,6.0,1.2131,1.3962634015954636,0.0087588
0.6,1.0,6.0,1000.0,6.0,0.82083,1.53588974175501,0.00067859
0.6,1.0,6.0,1000.0,6.0,0.97332,0.0698131700797731,0.0017008
0.6,1.0,6.0,1000.0,6.0,0.99494,0.2094395102393195,0.0024535
0.6,1.0,6.0,1000.0,6.0,1.0151,0.3490658503988659,0.0030127
0.6,1.0,6.0,1000.0,6.0,1.0373,0.4886921905584123,0.0035066
0.6,1.0,6.0,1000.0,6.0,1.0603,0.6283185307179586,0.0039587
0.2,0.2,10.0,1000.0,10.0,0.14412,1.0471975511965976,1.4292e-05
0.2,0.2,10.0,1000.0,10.0,0.98357,1.1868238913561442,0.001007
0.2,0.2,10.0,1000.0,10.0,0.99207,1.3264502315156903,0.0011869
0.2,0.2,10.0,1000.0,10.0,1.0006,1.4660765716752369,0.0013565
0.2,0.2,10.0,1000.0,10.0,1.0154,0.0,0.00022373
0.2,0.2,10.0,1000.0,10.0,1.0231,0.1396263401595463,0.00053526
0.2,0.2,10.0,1000.0,10.0,1.0307,0.2792526803190927,0.00075191
0.2,0.2,10.0,1000.0,10.0,1.0382,0.418879020478639,0.00099815
0.2,0.2,10.0,1000.0,10.0,1.0454,0.5585053606381855,0.0012875
0.2,0.2,10.0,1000.0,10.0,1.0525,0.6981317007977318,0.001623
0.2,0.2,10.0,1000.0,10.0,0.28675,0.8377580409572781,4.5103e-05
0.2,0.2,10.0,1000.0,10.0,1.0592,0.9773843811168246,0.0021362
0.2,0.2,10.0,1000.0,10.0,0.4266,1.117010721276371,0.00011762
0.2,0.2,10.0,1000.0,10.0,0.56189,1.2566370614359172,0.00022
0.2,0.2,10.0,1000.0,10.0,0.6911,1.3962634015954636,0.0003512
0.2,0.2,10.0,1000.0,10.0,0.804,1.53588974175501,0.00049522
0.2,0.2,10.0,1000.0,10.0,0.94317,0.0698131700797731,0.00022037
0.2,0.2,10.0,1000.0,10.0,0.97507,0.2094395102393195,0.00035188
0.8,0.2,10.0,100.0,40.0,0.078424,1.4660765716752369,0.00048236
